30,9,2014-12-12 09:44:00,2014-12-12 09:44:00,0,-1193688320,30
40,9,2014-12-15 06:39:00,2014-12-15 17:33:00,0,-1193688320,40
48,9,2014-12-16 06:18:00,2014-12-16 17:43:00,0,-1193688320,48
56,19,2014-12-16 06:54:00,2014-12-16 16:30:00,0,-1193688320,56
58,17,2014-12-16 06:56:00,2014-12-16 17:31:00,0,-1193688320,58
66,18,2014-12-16 07:04:00,2014-12-16 12:11:00,0,-1193688320,66
67,9,2014-12-17 06:33:00,2014-12-17 18:02:00,0,-1193688320,67
72,17,2014-12-17 06:53:00,2014-12-17 17:32:00,0,-1193688320,72
77,19,2014-12-17 06:56:00,2014-12-17 16:38:00,0,-1193688320,77
78,18,2014-12-17 06:57:00,2014-12-17 12:08:00,0,-1193688320,78
13417,17,2017-06-22 07:03:00,2017-06-22 17:58:00,0,1608301339,9281
13421,17,2017-06-23 07:05:00,2017-06-23 17:36:00,0,1608301339,9285
13425,17,2017-06-26 07:08:00,2017-06-26 17:38:00,0,1608301339,9289
13427,17,2017-06-27 07:12:00,2017-06-27 17:39:00,0,1608301339,9291
13432,17,2017-06-28 07:15:00,2017-06-28 17:37:00,0,1608301339,9296
13434,17,2017-06-29 07:02:00,2017-06-29 17:38:00,0,1608301339,9298
13441,17,2017-06-30 07:07:00,2017-06-30 17:36:00,0,1608301339,9305
13444,17,2017-07-03 07:06:00,2017-07-03 17:31:00,0,1608301339,9308
14668,18,2017-10-09 06:53:00,2017-10-09 15:11:00,0,-1193688320,14668
14669,48,2017-10-09 06:53:00,2017-10-09 17:44:00,0,-1193688320,14669
14670,63,2017-10-09 06:53:00,2017-10-09 18:25:00,0,-1193688320,14670
15321,63,2017-11-07 06:41:00,2017-11-07 20:05:00,0,-1193688320,15321
15322,18,2017-11-07 06:42:00,2017-11-07 15:11:00,0,-1193688320,15322
15323,48,2017-11-07 06:44:00,2017-11-07 17:51:00,0,-1193688320,15323
16817,48,2018-02-12 07:00:00,2018-02-12 19:04:00,0,-1193688320,16817
16819,63,2018-02-12 07:01:00,2018-02-12 21:21:00,0,-1193688320,16819
16820,18,2018-02-12 07:01:00,2018-02-12 15:24:00,0,-1193688320,16820
16828,58,2018-02-12 07:08:00,2018-02-12 17:33:00,0,2096553864,2470
16829,17,2018-02-12 07:11:00,2018-02-12 17:31:00,0,2096553864,2471
16831,63,2018-02-13 06:45:00,2018-02-13 20:47:00,0,-1193688320,16831
16834,18,2018-02-13 06:58:00,2018-02-13 15:21:00,0,-1193688320,16834
16835,48,2018-02-13 06:59:00,2018-02-13 20:00:00,0,-1193688320,16835
21017,49,2018-03-22 16:33:00,2018-03-22 17:47:00,0,1608301339,17554
21576,58,2018-04-30 06:52:00,2018-04-30 17:30:00,0,2096553864,2688
21577,48,2018-04-30 07:05:00,2018-04-30 18:06:00,0,-1193688320,21577
21578,63,2018-04-30 07:05:00,,0,-1193688320,21578
21583,9,2018-04-30 06:36:00,2018-04-30 17:32:00,0,1608301339,17753
21586,70,2018-04-30 06:37:00,2018-04-30 17:43:00,0,1608301339,17756
24120,48,2018-10-25 07:02:00,2018-10-25 18:55:00,0,-1193688320,24120
24123,18,2018-10-25 07:06:00,2018-10-25 15:13:00,0,-1193688320,24123
24124,74,2018-10-25 07:07:00,2018-10-25 17:49:00,0,-1193688320,24124
24128,63,2018-10-25 08:10:00,2018-10-25 13:44:00,0,-1193688320,24128
24129,74,2018-10-26 06:49:00,,0,-1193688320,24129
24131,18,2018-10-26 06:57:00,,0,-1193688320,24131
24132,48,2018-10-26 07:03:00,2018-10-26 18:27:00,0,-1193688320,24132
26031,70,2019-04-16 06:25:00,2019-04-16 17:44:00,0,-1193688320,26031
26032,9,2019-04-16 06:28:00,2019-04-16 17:31:00,0,-1193688320,26032
26034,48,2019-04-16 06:32:00,2019-04-16 18:28:00,0,-1193688320,26034
26039,18,2019-04-16 07:01:00,2019-04-16 15:14:00,0,-1193688320,26039
26040,49,2019-04-16 07:01:00,2019-04-16 17:36:00,0,-1193688320,26040
26043,74,2019-04-16 07:03:00,2019-04-16 17:32:00,0,-1193688320,26043
27577,70,2019-08-06 06:27:00,2019-08-06 17:32:00,0,-1193688320,27577
27580,18,2019-08-06 06:55:00,2019-08-06 15:05:00,0,-1193688320,27580
27584,63,2019-08-06 07:02:00,2019-08-06 20:28:00,0,-1193688320,27584
27586,48,2019-08-06 07:03:00,2019-08-06 18:43:00,0,-1193688320,27586
27588,49,2019-08-06 07:04:00,2019-08-06 17:30:00,0,-1193688320,27588
29738,18,2020-01-28 06:45:00,2020-01-28 15:10:00,0,-1193688320,29738
29739,49,2020-01-28 06:58:00,2020-01-28 17:31:00,0,-1193688320,29739
29740,48,2020-01-28 06:58:00,2020-01-28 17:48:00,0,-1193688320,29740
29741,74,2020-01-28 07:01:00,2020-01-28 17:35:00,0,-1193688320,29741
30397,18,2020-09-23 12:29:00,2020-09-23 12:29:00,0,-1193688320,30397
30399,74,2020-09-25 17:31:00,2020-09-25 17:32:00,0,-1193688320,30399
30400,78,2020-09-25 17:32:00,2020-09-25 17:32:00,0,-1193688320,30400
30401,74,2020-09-28 06:57:00,,0,-1193688320,30401
30402,78,2020-09-28 06:59:00,,0,-1193688320,30402
30403,18,2020-09-28 06:59:00,2020-09-28 15:24:00,0,-1193688320,30403
30405,48,2020-09-28 07:04:00,2020-09-28 17:43:00,0,-1193688320,30405
30406,79,2020-09-28 07:45:00,2020-09-28 15:33:00,0,-1193688320,30406
30407,70,2020-09-28 08:57:00,2020-09-28 08:57:00,0,-1193688320,30407
30408,70,2020-09-28 08:57:00,2020-09-28 08:58:00,0,-1193688320,30408
30409,9,2020-09-28 09:22:00,,0,-1193688320,30409
30411,80,2020-09-28 09:28:00,2020-09-28 09:28:00,0,-1193688320,30411
111,9,2014-12-18 06:31:00,2014-12-18 17:40:00,0,-1193688320,111
121,17,2014-12-18 06:56:00,2014-12-18 17:32:00,0,-1193688320,121
123,18,2014-12-18 06:59:00,2014-12-18 12:03:00,0,-1193688320,123
